"subjectid" "activitylabel" "atbodyaccmeanx" "atbodyaccmeany" "atbodyaccmeanz" "atgravityaccmeanx" "atgravityaccmeany" "atgravityaccmeanz" "atbodyaccjerkmeanx" "atbodyaccjerkmeany" "atbodyaccjerkmeanz" "atbodygyromeanx" "atbodygyromeany" "atbodygyromeanz" "atbodygyrojerkmeanx" "atbodygyrojerkmeany" "atbodygyrojerkmeanz" "atbodyaccmagmean" "atgravityaccmagmean" "atbodyaccjerkmagmean" "atbodygyromagmean" "atbodygyrojerkmagmean" "afbodyaccmeanx" "afbodyaccmeany" "afbodyaccmeanz" "afbodyaccmeanfreqx" "afbodyaccmeanfreqy" "afbodyaccmeanfreqz" "afbodyaccjerkmeanx" "afbodyaccjerkmeany" "afbodyaccjerkmeanz" "afbodyaccjerkmeanfreqx" "afbodyaccjerkmeanfreqy" "afbodyaccjerkmeanfreqz" "afbodygyromeanx" "afbodygyromeany" "afbodygyromeanz" "afbodygyromeanfreqx" "afbodygyromeanfreqy" "afbodygyromeanfreqz" "afbodyaccmagmean" "afbodyaccmagmeanfreq" "afbodybodyaccjerkmagmean" "afbodybodyaccjerkmagmeanfreq" "afbodybodygyromagmean" "afbodybodygyromagmeanfreq" "afbodybodygyrojerkmagmean" "afbodybodygyrojerkmagmeanfreq" "atbodyaccstdx" "atbodyaccstdy" "atbodyaccstdz" "atgravityaccstdx" "atgravityaccstdy" "atgravityaccstdz" "atbodyaccjerkstdx" "atbodyaccjerkstdy" "atbodyaccjerkstdz" "atbodygyrostdx" "atbodygyrostdy" "atbodygyrostdz" "atbodygyrojerkstdx" "atbodygyrojerkstdy" "atbodygyrojerkstdz" "atbodyaccmagstd" "atgravityaccmagstd" "atbodyaccjerkmagstd" "atbodygyromagstd" "atbodygyrojerkmagstd" "afbodyaccstdx" "afbodyaccstdy" "afbodyaccstdz" "afbodyaccjerkstdx" "afbodyaccjerkstdy" "afbodyaccjerkstdz" "afbodygyrostdx" "afbodygyrostdy" "afbodygyrostdz" "afbodyaccmagstd" "afbodybodyaccjerkmagstd" "afbodybodygyromagstd" "afbodybodygyrojerkmagstd"
"11" 2 "WALKING_DOWNSTAIRS" 0.27761 -0.02266 -0.11681 0.86183 -0.32578 -0.04388 0.11004 -0.00327 -0.02093 -0.11594 -0.00482 0.09717 -0.0581 -0.04214 -0.07102 0.08995 0.08995 0.00565 -0.16218 -0.41087 0.11284 0.27834 -0.13129 -0.27371 0.01193 0.09036 0.13812 0.0962 -0.27149 -0.14389 -0.35751 -0.2347 -0.14577 -0.36191 -0.08749 -0.03752 0.07708 0.13677 0.29342 0.09383 0.22224 0.01883 -0.32083 0.10397 -0.38017 -0.05124 0.04636 0.26288 -0.10283 -0.94036 -0.94006 -0.93143 0.14724 0.12682 -0.34012 -0.32078 -0.41573 -0.27941 -0.24394 -0.46939 -0.21826 0.21558 0.21558 0.22961 -0.27484 -0.34318 0.0161 0.17197 -0.16203 0.04995 0.08083 -0.40822 -0.37943 -0.45873 -0.42298 -0.02147 0.22748 -0.37257 -0.34369
"12" 2 "WALKING_UPSTAIRS" 0.24716 -0.02141 -0.15251 0.79071 -0.41621 -0.19588 0.07445 -0.0097 0.01948 -0.05769 -0.03208 0.06883 -0.08288 -0.0424 -0.04451 -0.10732 -0.10732 -0.32126 -0.21971 -0.57281 -0.26672 0.00992 -0.281 -0.28174 -0.06188 -0.23658 -0.25863 -0.18784 -0.52272 -0.04911 -0.28768 -0.37421 -0.33164 -0.48808 -0.2486 -0.11532 -0.13035 -0.07734 -0.14531 0.10768 -0.18951 -0.01191 -0.45061 -0.02275 -0.60079 0.04674 -0.30437 0.10802 -0.11212 -0.9344 -0.92376 -0.878 -0.27612 -0.18564 -0.57374 -0.43925 -0.46629 -0.16399 -0.46485 -0.64549 -0.46759 -0.20597 -0.20597 -0.21738 -0.37753 -0.59729 -0.32058 0.08488 -0.09454 -0.36541 -0.24355 -0.62509 -0.47635 -0.45975 -0.21807 -0.36672 -0.26042 -0.43862 -0.62182
"13" 3 "LAYING" 0.27551 -0.01895 -0.1013 -0.24175 0.83703 0.4887 0.07698 0.0138 -0.00435 -0.02081 -0.07185 0.13799 -0.10004 -0.03897 -0.06873 -0.97279 -0.97279 -0.97948 -0.95156 -0.98671 -0.98066 -0.96116 -0.96833 -0.07395 0.23847 0.21697 -0.98051 -0.96875 -0.97912 0.17597 -0.01317 0.04481 -0.97016 -0.97809 -0.96234 -0.08221 -0.02668 0.14768 -0.96552 0.23699 -0.97594 0.23861 -0.96458 -0.02292 -0.98427 0.11069 -0.98277 -0.96205 -0.96369 -0.98251 -0.9812 -0.9648 -0.98087 -0.96871 -0.98209 -0.97454 -0.97727 -0.9635 -0.98032 -0.98676 -0.98333 -0.96421 -0.96421 -0.97612 -0.95427 -0.98313 -0.98369 -0.96409 -0.96327 -0.98312 -0.97104 -0.98371 -0.97598 -0.97703 -0.96725 -0.96835 -0.9753 -0.95544 -0.98256
"14" 3 "SITTING" 0.25719 -0.0035 -0.09835 0.90109 0.1273 0.13902 0.0726 0.00272 -0.00423 -0.03853 -0.07524 0.09401 -0.1036 -0.03609 -0.059 -0.89538 -0.89538 -0.96908 -0.91935 -0.97799 -0.97015 -0.8919 -0.91798 0.03129 -0.00661 0.04786 -0.97495 -0.95417 -0.97084 0.21573 -0.09591 -0.04374 -0.95755 -0.95617 -0.93496 0.05208 -0.16604 -0.03874 -0.90418 0.02816 -0.96588 0.28679 -0.94666 -0.11552 -0.97789 0.08719 -0.97101 -0.85661 -0.87511 -0.95732 -0.90392 -0.89773 -0.97446 -0.95363 -0.97466 -0.96543 -0.94485 -0.92641 -0.97254 -0.97863 -0.97375 -0.8703 -0.8703 -0.96655 -0.92551 -0.97677 -0.9716 -0.84965 -0.86432 -0.97628 -0.95646 -0.97715 -0.96801 -0.9396 -0.93063 -0.87462 -0.96656 -0.92544 -0.97668
"15" 3 "STANDING" 0.28004 -0.01433 -0.10162 0.93503 -0.30173 0.02476 0.07509 0.00771 -0.00807 -0.02466 -0.05851 0.06652 -0.09946 -0.04724 -0.04168 -0.92543 -0.92543 -0.9593 -0.89208 -0.96233 -0.96012 -0.90807 -0.9395 -0.08702 -0.12818 0.00771 -0.95766 -0.94349 -0.96917 0.07495 -0.25816 -0.11236 -0.90128 -0.93771 -0.91617 -0.2971 -0.31601 -0.22912 -0.92696 -0.00033 -0.94862 0.12981 -0.91368 -0.30982 -0.96033 -0.02063 -0.96674 -0.89344 -0.91141 -0.98202 -0.95742 -0.92816 -0.95708 -0.94168 -0.97305 -0.90046 -0.92778 -0.91236 -0.94093 -0.96843 -0.95829 -0.91514 -0.91514 -0.94877 -0.88212 -0.95767 -0.96993 -0.89243 -0.9048 -0.96057 -0.94394 -0.97559 -0.90198 -0.92312 -0.91974 -0.92183 -0.9482 -0.88343 -0.95712
"16" 3 "WALKING" 0.27556 -0.01717 -0.11267 0.9365 -0.26198 -0.1381 0.08147 0.01005 -0.00562 -0.02564 -0.07791 0.08134 -0.09523 -0.03878 -0.05036 -0.25469 -0.25469 -0.28 -0.46641 -0.56613 -0.31661 -0.0813 -0.41237 -0.24661 0.17174 0.07485 -0.30469 -0.1405 -0.51413 -0.21604 -0.25866 -0.34694 -0.43784 -0.56152 -0.41812 0.03375 -0.03798 -0.0445 -0.29003 0.11349 -0.18676 -0.11716 -0.56975 0.18094 -0.60775 0.04576 -0.36035 -0.06991 -0.38741 -0.97777 -0.96235 -0.95209 -0.26867 -0.04496 -0.52948 -0.57186 -0.56379 -0.47669 -0.38592 -0.63908 -0.53666 -0.32842 -0.32842 -0.13991 -0.56151 -0.56737 -0.37927 -0.12403 -0.42299 -0.29659 -0.00561 -0.54352 -0.61512 -0.56888 -0.54589 -0.45637 -0.08985 -0.63264 -0.54908
"17" 3 "WALKING_DOWNSTAIRS" 0.29242 -0.01935 -0.11613 0.93905 -0.22882 -0.10235 0.07256 0.01097 -0.00202 -0.13157 -0.01393 0.12382 -0.07787 -0.03915 -0.04161 -0.06281 -0.06281 -0.20523 -0.21529 -0.50856 -0.04217 -0.0077 -0.40445 -0.32586 0.0529 -0.0566 -0.09067 -0.13593 -0.52905 -0.22959 -0.35602 -0.27442 -0.12906 -0.54269 -0.30286 -0.15988 -0.10997 0.091 0.02894 0.04396 -0.04947 0.04349 -0.33237 -0.05166 -0.57627 0.06544 -0.05741 -0.03315 -0.36224 -0.95006 -0.94609 -0.89994 -0.0858 -0.11143 -0.57173 -0.26165 -0.54674 -0.4423 -0.28568 -0.68094 -0.3746 -0.04113 -0.04113 -0.09263 -0.24579 -0.58391 -0.06544 -0.10972 -0.38972 -0.16544 -0.14772 -0.61352 -0.30863 -0.55309 -0.54816 -0.23384 -0.1591 -0.32244 -0.62491
"18" 3 "WALKING_UPSTAIRS" 0.26081 -0.03241 -0.11006 0.88353 -0.38285 -0.16294 0.04268 0.03972 0.02082 0.07219 -0.13927 0.02156 -0.11551 -0.04003 -0.04981 -0.18401 -0.18401 -0.4369 -0.34732 -0.65886 -0.392 -0.0788 -0.50449 -0.46124 -0.10001 -0.27889 -0.47843 -0.28377 -0.67731 -0.32515 -0.45378 -0.44266 -0.37821 -0.63729 -0.4315 -0.14553 -0.33932 -0.10201 -0.31586 0.02382 -0.41292 0.09049 -0.51421 -0.17773 -0.71687 0.07538 -0.31312 0.01162 -0.36975 -0.94404 -0.90982 -0.90946 -0.45836 -0.25168 -0.70855 -0.45603 -0.58274 -0.49232 -0.50727 -0.77577 -0.57343 -0.33359 -0.33359 -0.43902 -0.40888 -0.71802 -0.28533 -0.00803 -0.35079 -0.48644 -0.26819 -0.7387 -0.48482 -0.55604 -0.56109 -0.44799 -0.4806 -0.44518 -0.74003
"19" 4 "LAYING" 0.26355 -0.015 -0.11068 -0.42066 0.91516 0.34153 0.09344 0.00693 -0.00641 -0.00923 -0.09301 0.16972 -0.10501 -0.03812 -0.07121 -0.95455 -0.95455 -0.97009 -0.93023 -0.98506 -0.9588 -0.93888 -0.9675 -0.27419 0.36623 0.20132 -0.97854 -0.94396 -0.97538 0.18243 0.09874 0.07702 -0.9672 -0.97218 -0.96147 -0.06609 -0.52688 0.15288 -0.93938 0.24169 -0.96228 0.27402 -0.96155 -0.25985 -0.9836 0.20294 -0.95419 -0.94171 -0.96266 -0.92119 -0.96981 -0.97617 -0.9783 -0.9422 -0.97851 -0.9731 -0.9611 -0.96207 -0.9751 -0.98685 -0.98396 -0.93129 -0.93129 -0.96078 -0.94703 -0.98269 -0.95246 -0.94638 -0.96215 -0.98007 -0.94436 -0.98026 -0.97509 -0.95618 -0.9658 -0.93718 -0.95803 -0.9471 -0.98254
"20" 4 "SITTING" 0.27153 -0.00716 -0.10587 0.8693 0.21162 0.11012 0.07845 -0.01085 -0.01214 -0.04944 -0.08943 0.10115 -0.09694 -0.04184 -0.04899 -0.93569 -0.93569 -0.97013 -0.92606 -0.98049 -0.97746 -0.90578 -0.95178 0.03738 0.07878 0.01209 -0.97684 -0.94429 -0.97515 0.21301 -0.07528 0.01224 -0.96058 -0.96758 -0.93377 0.10909 -0.39474 -0.14572 -0.929 0.02809 -0.9625 0.22719 -0.94876 -0.20008 -0.97654 0.08593 -0.9803 -0.89022 -0.9322 -0.9814 -0.93272 -0.95094 -0.97674 -0.94459 -0.97903 -0.97013 -0.95846 -0.92797 -0.96989 -0.98444 -0.9688 -0.9144 -0.9144 -0.96254 -0.92889 -0.9758 -0.9819 -0.88946 -0.92699 -0.97877 -0.94929 -0.98169 -0.97333 -0.95412 -0.93286 -0.91981 -0.96158 -0.92885 -0.97626
"21" 4 "STANDING" 0.28049 -0.00948 -0.09615 0.95619 -0.0759 0.16689 0.07213 -0.00653 -0.02118 -0.03064 -0.06182 0.07556 -0.10305 -0.04612 -0.04907 -0.90647 -0.90647 -0.96337 -0.90098 -0.96761 -0.97349 -0.88954 -0.93164 0.06209 -0.06698 -0.03778 -0.97231 -0.93762 -0.96864 0.27221 -0.12645 0.0711 -0.90546 -0.95599 -0.91528 -0.2748 -0.36437 -0.2231 -0.91761 -0.10297 -0.95613 0.20126 -0.9142 -0.28612 -0.96447 0.06098 -0.97692 -0.86159 -0.89688 -0.9729 -0.91761 -0.8994 -0.97258 -0.93835 -0.97305 -0.90968 -0.94922 -0.90999 -0.94963 -0.97606 -0.95798 -0.89097 -0.89097 -0.95815 -0.88514 -0.96428 -0.97873 -0.85738 -0.88755 -0.9757 -0.94407 -0.97622 -0.91246 -0.94582 -0.91665 -0.89534 -0.96003 -0.88719 -0.96643
"22" 4 "WALKING" 0.27858 -0.01483 -0.1114 0.96399 -0.08585 0.12776 0.07835 0.00295 -0.00076 -0.03179 -0.07269 0.08056 -0.11532 -0.03934 -0.05511 -0.31205 -0.31205 -0.3667 -0.49779 -0.6813 -0.42671 -0.14939 -0.631 -0.13859 0.01234 -0.07878 -0.35888 -0.27955 -0.72899 -0.13528 -0.38588 -0.32573 -0.37338 -0.68846 -0.60138 -0.12715 -0.27466 0.14985 -0.4508 0.38209 -0.31858 0.11148 -0.60928 0.06973 -0.72432 0.26535 -0.44082 -0.07882 -0.58625 -0.98382 -0.96796 -0.96296 -0.29704 -0.22116 -0.75139 -0.50091 -0.66539 -0.6626 -0.49234 -0.80741 -0.64045 -0.52767 -0.52767 -0.31691 -0.55311 -0.73014 -0.44723 -0.10179 -0.59419 -0.29732 -0.2099 -0.77235 -0.54264 -0.65465 -0.71645 -0.65117 -0.32045 -0.59393 -0.75776
"23" 4 "WALKING_DOWNSTAIRS" 0.27996 -0.0098 -0.10677 0.94773 -0.06208 0.14871 0.09718 0.00563 -0.00729 -0.10283 -0.0704 0.05926 -0.09212 -0.03484 -0.04928 -0.04916 -0.04916 -0.22885 -0.3466 -0.59284 -0.07223 -0.1296 -0.49468 -0.34228 0.21358 0.04783 -0.16163 -0.17294 -0.58391 -0.17911 -0.18129 -0.1697 -0.24029 -0.71754 -0.3183 -0.12714 -0.18548 0.37707 -0.01907 0.10107 -0.17529 0.09262 -0.42921 0.06002 -0.62175 0.14443 0.01119 -0.21859 -0.47918 -0.95525 -0.93206 -0.93775 -0.14575 -0.14624 -0.62664 -0.37024 -0.69945 -0.49848 -0.39599 -0.81685 -0.32578 -0.08195 -0.08195 -0.21685 -0.38057 -0.63707 0.039 -0.32253 -0.51269 -0.20825 -0.1772 -0.66886 -0.41491 -0.69151 -0.62165 -0.26364 -0.28042 -0.45767 -0.68547
"24" 4 "WALKING_UPSTAIRS" 0.27087 -0.03198 -0.11421 0.94626 -0.23294 0.08416 0.05609 0.0234 0.0034 0.03938 -0.08594 0.08437 -0.13147 -0.03905 -0.07224 -0.1537 -0.1537 -0.40092 -0.29977 -0.68697 -0.29448 -0.1171 -0.52465 -0.48681 -0.06623 -0.23053 -0.4183 -0.2978 -0.6901 -0.37965 -0.3927 -0.31964 -0.37106 -0.68431 -0.35076 -0.20607 -0.49152 -0.13013 -0.27682 -0.10801 -0.3974 0.04974 -0.57579 -0.15027 -0.74074 0.17951 -0.20493 -0.06668 -0.37213 -0.95849 -0.92337 -0.91961 -0.38048 -0.28154 -0.72649 -0.45443 -0.55118 -0.36081 -0.53366 -0.84072 -0.55623 -0.21201 -0.21201 -0.43726 -0.51097 -0.75527 -0.17321 -0.10143 -0.3451 -0.39676 -0.31452 -0.76277 -0.48354 -0.48982 -0.42453 -0.301 -0.49732 -0.55248 -0.7942
